path	loc	public_exports
agent/__init__.py	6	
agent/account_usage.py	326	AccountUsageSnapshot,AccountUsageWindow,fetch_account_usage,render_account_usage_lines
agent/agent_init.py	1638	init_agent
agent/agent_runtime_helpers.py	2228	anthropic_prompt_cache_policy,apply_pending_steer_to_tool_results,cleanup_dead_connections,convert_to_trajectory_format,copy_reasoning_content_for_api,create_openai_client,drop_thinking_only_and_merge_users,dump_api_request_debug,extract_api_error_context,extract_reasoning,force_close_tcp_sockets,invoke_tool,looks_like_codex_intermediate_ack,recover_with_credential_pool,repair_message_sequence,repair_tool_call,restore_primary_runtime,sanitize_api_messages,sanitize_tool_call_arguments,strip_think_blocks,switch_model,try_recover_primary_transport
agent/anthropic_adapter.py	2244	build_anthropic_bedrock_client,build_anthropic_client,build_anthropic_kwargs,convert_messages_to_anthropic,convert_tools_to_anthropic,is_claude_code_token_valid,normalize_model_name,read_claude_code_credentials,read_claude_managed_key,read_hermes_oauth_credentials,refresh_anthropic_oauth_pure,resolve_anthropic_token,run_hermes_oauth_login_pure,run_oauth_setup_token
agent/async_utils.py	68	safe_schedule_threadsafe
agent/auxiliary_client.py	5289	AnthropicAuxiliaryClient,async_call_llm,AsyncAnthropicAuxiliaryClient,AsyncCodexAuxiliaryClient,auxiliary_max_tokens_param,build_nvidia_nim_headers,build_or_headers,call_llm,cleanup_stale_async_clients,clear_runtime_main,CodexAuxiliaryClient,extract_content_or_reasoning,get_async_text_auxiliary_client,get_auxiliary_extra_body,get_available_vision_backends,get_text_auxiliary_client,neuter_async_httpx_del,resolve_provider_client,resolve_vision_provider_client,set_runtime_main,shutdown_cached_clients
agent/azure_identity_adapter.py	555	build_bearer_http_client,build_credential,build_token_provider,describe_active_credential,EntraIdentityConfig,has_azure_identity_credentials,has_azure_identity_installed,is_token_provider,materialize_bearer_for_http,reset_credential_cache
agent/background_review.py	587	build_memory_write_metadata,spawn_background_review_thread,summarize_background_review_actions
agent/bedrock_adapter.py	1289	bedrock_model_ids_or_none,build_converse_kwargs,call_converse,call_converse_stream,classify_bedrock_error,convert_messages_to_converse,convert_tools_to_converse,discover_bedrock_models,get_bedrock_context_length,get_bedrock_model_ids,has_aws_credentials,invalidate_runtime_client,is_anthropic_bedrock_model,is_context_overflow_error,is_stale_connection_error,normalize_converse_response,normalize_converse_stream_events,reset_client_cache,reset_discovery_cache,resolve_aws_auth_env_var,resolve_bedrock_region,stream_converse_with_callbacks
